provider,name,source
gdalwms,wms_googleterrainstreets_tms,"<GDAL_WMS><!-- Data is subject to term of use detailed at http://code.google.com/intl/nl/apis/maps/terms.html andhttp://www.google.com/intl/en_ALL/help/terms_maps.html --><Service name=""TMS""><!-- <ServerUrl>http://mt.google.com/vt/lyrs=m&amp;x=${x}&amp;y=${y}&amp;z=${z}</ServerUrl> --><!-- Map --><!-- <ServerUrl>http://mt.google.com/vt/lyrs=s&amp;x=${x}&amp;y=${y}&amp;z=${z}</ServerUrl> --> <!-- Satellite --><!-- <ServerUrl>http://mt.google.com/vt/lyrs=y&amp;x=${x}&amp;y=${y}&amp;z=${z}</ServerUrl> --> <!-- Hybrid --><!-- <ServerUrl>http://mt.google.com/vt/lyrs=t&amp;x=${x}&amp;y=${y}&amp;z=${z}</ServerUrl> --> <!-- Terrain --><ServerUrl>http://mt.google.com/vt/lyrs=p&amp;x=${x}&amp;y=${y}&amp;z=${z}</ServerUrl> <!-- Terrain, Streets and Water  --></Service><DataWindow><UpperLeftX>-20037508.34</UpperLeftX><UpperLeftY>20037508.34</UpperLeftY><LowerRightX>20037508.34</LowerRightX><LowerRightY>-20037508.34</LowerRightY><TileLevel>20</TileLevel><TileCountX>1</TileCountX><TileCountY>1</TileCountY><YOrigin>top</YOrigin></DataWindow><Projection>EPSG:900913</Projection><BlockSizeX>256</BlockSizeX><BlockSizeY>256</BlockSizeY><BandsCount>3</BandsCount><MaxConnections>5</MaxConnections><Cache /></GDAL_WMS>"
gdalwms,wms_openstreetmap_tms,"<GDAL_WMS><Service name=""TMS""><ServerUrl>https://tile.openstreetmap.org/${z}/${x}/${y}.png</ServerUrl></Service><DataWindow><UpperLeftX>-20037508.34</UpperLeftX><UpperLeftY>20037508.34</UpperLeftY><LowerRightX>20037508.34</LowerRightX><LowerRightY>-20037508.34</LowerRightY><TileLevel>18</TileLevel><TileCountX>1</TileCountX><TileCountY>1</TileCountY><YOrigin>top</YOrigin></DataWindow><Projection>EPSG:3857</Projection><BlockSizeX>256</BlockSizeX><BlockSizeY>256</BlockSizeY><BandsCount>3</BandsCount><!--<UserAgent>Please add a specific user agent text, to avoid the default one being used, and potentially blocked by OSM servers in case a too big usage of it would be seen</UserAgent>--><Cache /></GDAL_WMS>"
gdalwms,wms_virtualearth_street,"<GDAL_WMS><Service name=""VirtualEarth""><ServerUrl>http://r${server_num}.ortho.tiles.virtualearth.net/tiles/r${quadkey}.jpeg?g=90</ServerUrl></Service><MaxConnections>4</MaxConnections><Cache/></GDAL_WMS>"
gdalwms,wms_virtualearth,"<GDAL_WMS><Service name=""VirtualEarth""><ServerUrl>http://a${server_num}.ortho.tiles.virtualearth.net/tiles/a${quadkey}.jpeg?g=90</ServerUrl></Service><MaxConnections>4</MaxConnections><Cache/></GDAL_WMS>"
gibs,Agricultural Lands Croplands 2000 tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>Agricultural Lands Croplands 2000 tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,Agricultural Lands Pastures 2000 tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>Agricultural Lands Pastures 2000 tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Carbon Monoxide 500hPa Volume Mixing Ratio Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Carbon Monoxide 500hPa Volume Mixing Ratio Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Carbon Monoxide 500hPa Volume Mixing Ratio Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Carbon Monoxide 500hPa Volume Mixing Ratio Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Cloud Top Height Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Cloud Top Height Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Cloud Top Height Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Cloud Top Height Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Dust Score Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Dust Score Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Dust Score Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Dust Score Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Methane 400hPa Volume Mixing Ratio Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Methane 400hPa Volume Mixing Ratio Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Methane 400hPa Volume Mixing Ratio Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Methane 400hPa Volume Mixing Ratio Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 RelativeHumidity 500hPa Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 RelativeHumidity 500hPa Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 RelativeHumidity 500hPa Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 RelativeHumidity 500hPa Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 RelativeHumidity 700hPa Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 RelativeHumidity 700hPa Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 RelativeHumidity 700hPa Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 RelativeHumidity 700hPa Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 RelativeHumidity 850hPa Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 RelativeHumidity 850hPa Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 RelativeHumidity 850hPa Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 RelativeHumidity 850hPa Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Sulfur Dioxide Brightness Temperature Difference Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Sulfur Dioxide Brightness Temperature Difference Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Sulfur Dioxide Brightness Temperature Difference Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Sulfur Dioxide Brightness Temperature Difference Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Surface Air Temperature Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Surface Air Temperature Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Surface Air Temperature Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Surface Air Temperature Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Surface Relative Humidity Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Surface Relative Humidity Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Surface Relative Humidity Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Surface Relative Humidity Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Surface Skin Temperature Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Surface Skin Temperature Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Surface Skin Temperature Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Surface Skin Temperature Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Temperature 500hPa Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Temperature 500hPa Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Temperature 500hPa Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Temperature 500hPa Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Temperature 700hPa Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Temperature 700hPa Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Temperature 700hPa Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Temperature 700hPa Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Temperature 850hPa Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Temperature 850hPa Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Temperature 850hPa Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Temperature 850hPa Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Total Cloud Fraction Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Total Cloud Fraction Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L2 Total Cloud Fraction Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L2 Total Cloud Fraction Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L3 All Sky Outgoing Longwave Radiation Daily Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L3 All Sky Outgoing Longwave Radiation Daily Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L3 All Sky Outgoing Longwave Radiation Daily Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L3 All Sky Outgoing Longwave Radiation Daily Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L3 All Sky Outgoing Longwave Radiation Monthly Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L3 All Sky Outgoing Longwave Radiation Monthly Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L3 All Sky Outgoing Longwave Radiation Monthly Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L3 All Sky Outgoing Longwave Radiation Monthly Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L3 Carbon Dioxide AIRS AMSU Monthly tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L3 Carbon Dioxide AIRS AMSU Monthly tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L3 Carbon Dioxide IR Monthly tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L3 Carbon Dioxide IR Monthly tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L3 Carbon Monoxide 500hPa Volume Mixing Ratio Daily Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L3 Carbon Monoxide 500hPa Volume Mixing Ratio Daily Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L3 Carbon Monoxide 500hPa Volume Mixing Ratio Daily Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L3 Carbon Monoxide 500hPa Volume Mixing Ratio Daily Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L3 Carbon Monoxide 500hPa Volume Mixing Ratio Monthly Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L3 Carbon Monoxide 500hPa Volume Mixing Ratio Monthly Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L3 Carbon Monoxide 500hPa Volume Mixing Ratio Monthly Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L3 Carbon Monoxide 500hPa Volume Mixing Ratio Monthly Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L3 Clear Sky Outgoing Longwave Radiation Daily Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L3 Clear Sky Outgoing Longwave Radiation Daily Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L3 Clear Sky Outgoing Longwave Radiation Daily Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L3 Clear Sky Outgoing Longwave Radiation Daily Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L3 Clear Sky Outgoing Longwave Radiation Monthly Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L3 Clear Sky Outgoing Longwave Radiation Monthly Day tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L3 Clear Sky Outgoing Longwave Radiation Monthly Night tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L3 Clear Sky Outgoing Longwave Radiation Monthly Night tileset</TiledGroupName></Service></GDAL_WMS>"
gibs,AIRS L3 Methane 400hPa Volume Mixing Ratio Daily Day tileset,"<GDAL_WMS><Service name=""TiledWMS""><ServerUrl>https://gibs.earthdata.nasa.gov/twms/epsg3857/best/twms.cgi?</ServerUrl><TiledGroupName>AIRS L3 Methane 400hPa Volume Mixing Ratio Daily Day tileset</TiledGroupName></Service></GDAL_WMS>"
